Data type,Cancer group/site,Year,Sex,Age group (years),Count,ICD10 codes
Actual,Melanoma of the skin,1994,Males,15–19,1,C43
Actual,Melanoma of the skin,1994,Males,20–24,4,C43
Actual,Melanoma of the skin,1994,Males,25–29,5,C43
Actual,Melanoma of the skin,1994,Males,30–34,12,C43
Actual,Melanoma of the skin,1994,Males,35–39,22,C43
Actual,Melanoma of the skin,1994,Males,40–44,39,C43
Actual,Melanoma of the skin,1994,Males,45–49,39,C43
Actual,Melanoma of the skin,1994,Males,50–54,43,C43
Actual,Melanoma of the skin,1994,Males,55–59,33,C43
Actual,Melanoma of the skin,1994,Males,60–64,68,C43
Actual,Melanoma of the skin,1994,Males,65–69,91,C43
Actual,Melanoma of the skin,1994,Males,70–74,84,C43
